State,District,Block,Pincode,Total Nitrogen_x,Total Phosphorous_x,Total Potassium_x,Total pH_x
goa,north goa,satari,"403506, 403530",65.552,42.505,54.11,6.4408
goa,north goa,tiswadi,"403001, 403002, 403006, 403108, 403206, 403403",30.566,59.699,34.564,6.2857
goa,north goa,bardez,"403101, 403102, 403107, 403109, 403110, 403114, 403116, 403501, 403502, 403507, 403508, 403509, 403510, 403511, 403513, 403515, 403516, 403517, 403518, 403519, 403521, 403523, 403524, 403526",59.909,38.336,42.722,6.2997
goa,north goa,pernem,"403512, 403524, 403527",70.787,63.848,59.774,6.3782
goa,north goa,bicholim,"403504, 403505, 403529",47.183,57.44,52.397,6.169
goa,south goa,salcete,"403601, 403602, 403604, 403707, 403708, 403709, 403710, 403711, 403712, 403713, 403714, 403715, 403716, 403717, 403718, 403719, 403720, 403721, 403722, 403723, 403724, 403725, 403726, 403728, 403729, 403731",43.739,59.399,46.584,6.2078
goa,south goa,quepem,"403705, 403706",47.621,34.898,54.502,6.4632
goa,south goa,ponda,"403103, 403107, 403401, 403404, 403406",49.995,21.236,58.85,6.053
goa,south goa,dharbandora,403406,47.141,28.556,47.982,6.4823
goa,south goa,canacona,"403702, 403703, 403728",50.0,0.0,50.0,7.0
gujarat,ahmedabad,daskroi,"382210, 382213, 382225, 382230, 382330, 382405, 382425, 382426, 382427, 382430, 382435, 382445",22.124,65.397,65.016,7.2838
gujarat,ahmedabad,viramgam,"382110, 382150",20.0,80.0,79.979,7.0
gujarat,ahmedabad,detroj rampura,"382120, 382140",20.051,80.0,79.922,7.0
gujarat,ahmedabad,mandal,382130,20.0,80.0,80.0,7.0
gujarat,ahmedabad,sanand,"382110, 382170",21.488,70.724,75.845,7.0
gujarat,ahmedabad,bavla,"382220, 382230",21.392,55.427,74.831,7.0068
gujarat,ahmedabad,dhandhuka,"382250, 382460",21.488,55.982,76.313,6.9979
gujarat,ahmedabad,dholera,382455,21.695,52.769,79.214,6.9972
gujarat,ahmedabad,dholka,"382225, 382240, 382265",28.892,74.333,75.773,6.9981
gujarat,amreli,amreli,"365601, 365610, 365630",20.0,79.906,79.945,7.0389
gujarat,amreli,lathi,"365430, 365435",20.0,79.973,75.128,7.0057
gujarat,amreli,babra,365421,20.0,79.952,76.625,7.0
gujarat,amreli,lilia,365535,20.0,80.0,76.217,7.0
gujarat,amreli,jafrabad,"365540, 365545",20.0,80.0,75.713,7.117
gujarat,amreli,kunkavav -vadia,365480,27.176,62.318,44.477,7.0762
gujarat,amreli,bagasara,365440,26.309,53.573,36.665,7.0
gujarat,amreli,dhari,"365630, 365640",30.734,59.378,28.187,7.0
gujarat,amreli,rajula,"365555, 365560",20.0,80.0,79.841,7.2619
gujarat,amreli,khambha,365650,20.027,80.0,74.851,7.0357
gujarat,amreli,saverkundla,"364515, 364522",20.0,79.982,76.421,7.0132
gujarat,anand,anklav,"388510, 388520",28.223,80.0,74.0,7.1125
gujarat,anand,sojitra,387240,26.663,80.0,74.039,7.0039
gujarat,anand,anand,"388001, 388110, 388120, 388130",22.229,80.0,77.976,7.0153
gujarat,anand,borsad,"388540, 388550",21.542,80.0,74.105,7.1953
gujarat,anand,umreth,388220,22.619,80.0,72.077,7.0348
gujarat,anand,petlad,"388450, 388460",34.877,80.0,72.698,7.2802
gujarat,anand,tarapur,388180,20.021,78.02,71.387,7.1143
gujarat,anand,khambhat,"388620, 388630, 388640",20.0,80.0,73.985,7.0858
gujarat,arvalli,bayad,"383325, 383330",21.32,72.05,67.694,7.0399
gujarat,arvalli,modasa,"383315, 383320",21.572,75.785,68.358,7.0783
gujarat,arvalli,malpur,383345,20.531,76.019,67.469,7.0381
gujarat,arvalli,meghraj,383350,21.227,74.93,64.703,7.0279
gujarat,arvalli,bhiloda,"383245, 383250",20.855,67.133,56.792,7.0333
gujarat,arvalli,dhansura,383310,20.0,77.537,69.668,7.0315
gujarat,banas kantha,tharad,"385565, 385566",21.407,76.91,69.527,7.4726
gujarat,banas kantha,lakhani,385535,20.0,76.769,69.053,7.2412
gujarat,banas kantha,amirgadh,385130,20.309,77.591,49.469,7.002
gujarat,banas kantha,dhanera,385310,21.197,79.958,68.186,7.0641
gujarat,banas kantha,kankrej,"385555, 385560",20.783,79.814,74.53,7.006
gujarat,banas kantha,dantivada,385505,20.0,77.696,71.648,7.0308
gujarat,banas kantha,deesa,"385535, 385540",20.114,78.314,70.853,7.006
gujarat,banas kantha,suigam,385570,20.0,72.422,54.29,7.0021
gujarat,banas kantha,palanpur,"385001, 385010",20.0,79.895,73.767,7.0157
gujarat,banas kantha,bhabhar,385320,20.51,58.449,77.444,7.0
gujarat,banas kantha,vadgam,"385410, 385421",20.0,79.925,74.017,7.2121
gujarat,banas kantha,danta,385120,20.339,78.422,72.878,7.0006
gujarat,banas kantha,deodar,385330,20.276,54.836,62.31,6.9986
gujarat,banas kantha,vav,385575,20.087,70.229,68.777,7.0
gujarat,bharuch,tharad,,21.407,76.91,69.527,7.4726
gujarat,bharuch,lakhani,,20.0,76.769,69.053,7.2412
gujarat,bharuch,amirgadh,,20.309,77.591,49.469,7.002
gujarat,bharuch,dhanera,,21.197,79.958,68.186,7.0641
gujarat,bharuch,kankrej,,20.783,79.814,74.53,7.006
gujarat,bharuch,dantivada,,20.0,77.696,71.648,7.0308
gujarat,bharuch,deesa,,20.114,78.314,70.853,7.006
