State,year,Avg_Temp_C,Total_Rainfall_mm
goa,2018,27.2695122,0.0
goa,2019,27.38021978,0.0
goa,2020,27.33461538,0.0
goa,2021,27.39587912,0.0
goa,2022,27.24545455,2430.2
goa,2023,27.91178082,2381.7
goa,2024,27.92349727,3597.0
goa,2025,28.67380952,1201.1
gujarat,1980,27.45238095,666.6
gujarat,1981,26.84033898,834.8
gujarat,1982,27.7109215,610.9
gujarat,1983,25.91405751,1300.1
gujarat,1984,26.34398734,510.6
gujarat,1985,27.160625,495.5
gujarat,1986,27.39792388,272.0
gujarat,1987,28.5878125,197.3
gujarat,1988,27.73355482,470.3
gujarat,1989,27.24873418,531.0
gujarat,1990,26.91580547,647.5
gujarat,1991,27.14633431,376.0
gujarat,1992,27.17180233,466.1
gujarat,1993,27.92241379,720.2
gujarat,1994,26.89797101,1791.2
gujarat,1995,27.56395349,304.6
gujarat,1996,27.06376404,999.5
gujarat,1997,26.33922156,967.8
gujarat,1998,27.1619469,870.0
gujarat,1999,25.0992126,484.8
gujarat,2000,26.84067797,378.8
gujarat,2001,28.42898551,636.4
gujarat,2002,27.03209877,321.5
gujarat,2003,27.11865889,793.8
gujarat,2004,27.16773256,717.4
gujarat,2005,26.80987124,1259.2
gujarat,2006,27.99078947,935.3
gujarat,2007,28.59324324,855.6
gujarat,2008,27.77758621,467.5
gujarat,2009,29.42325581,381.0
gujarat,2010,27.87977528,1125.7
gujarat,2011,29.53157895,712.4
gujarat,2012,29.884,500.4
gujarat,2013,28.47361111,913.3
gujarat,2014,27.53137255,992.3
gujarat,2015,26.0512605,561.7
gujarat,2016,28.19470752,917.7
gujarat,2017,28.04793388,941.1
gujarat,2018,28.55178082,259.8
gujarat,2019,27.65835616,798.0
gujarat,2020,27.7068306,884.2
gujarat,2021,27.68493151,630.0
gujarat,2022,28.53835616,827.7
gujarat,2023,27.5539726,1225.8
gujarat,2024,27.74672131,1075.2
gujarat,2025,28.27738095,129.3
tamil nadu,1980,28.37581121,1335.9
tamil nadu,1981,27.96973294,1404.6
tamil nadu,1982,28.57430556,548.9
tamil nadu,1983,28.33848485,1260.7
tamil nadu,1984,27.99690402,1385.4
tamil nadu,1985,27.89209726,2018.0
tamil nadu,1986,28.1955414,913.8
tamil nadu,1987,28.40577508,1079.1
tamil nadu,1988,28.36435331,874.2
tamil nadu,1989,27.84294671,1251.9
tamil nadu,1990,28.05876923,1160.9
tamil nadu,1991,28.21042945,1177.7
tamil nadu,1992,27.95182927,1052.9
tamil nadu,1993,27.95313433,1671.6
tamil nadu,1994,28.00189873,1472.4
tamil nadu,1995,28.03704819,1461.3
tamil nadu,1996,28.1360119,1864.2
tamil nadu,1997,28.48303571,1574.6
tamil nadu,1998,28.84723926,1096.4
tamil nadu,1999,27.87986111,1030.3
tamil nadu,2000,28.16415094,1043.2
tamil nadu,2001,28.3875,1356.1
tamil nadu,2002,27.56023392,1173.6
tamil nadu,2003,28.50241692,845.2
tamil nadu,2004,27.96779141,1296.2
tamil nadu,2005,28.20716846,2108.8
tamil nadu,2006,27.81875,1367.9
tamil nadu,2007,27.66666667,1225.0
tamil nadu,2008,27.73140496,1605.6
tamil nadu,2009,28.5785124,1314.9
tamil nadu,2010,27.77032258,1355.9
tamil nadu,2011,28.35555556,1538.5
tamil nadu,2012,28.72293578,982.4
tamil nadu,2013,28.26153846,975.9
tamil nadu,2014,28.38,1166.3
tamil nadu,2015,28.92196262,2428.5
tamil nadu,2016,29.1369863,1208.9
tamil nadu,2017,29.26136986,1473.2
tamil nadu,2018,29.27808219,900.4
tamil nadu,2019,29.6630137,1288.9
tamil nadu,2020,29.03715847,1488.9
tamil nadu,2021,28.87890411,2047.1
tamil nadu,2022,29.23589041,1718.3
tamil nadu,2023,29.2,2299.4
tamil nadu,2024,29.4489071,1798.3
tamil nadu,2025,29.29821429,190.3
karnataka,1980,23.67435065,909.5
karnataka,1981,23.34985075,646.2
karnataka,1982,24.11573034,489.8
karnataka,1983,24.12704403,739.8
karnataka,1984,23.40295082,595.6
karnataka,1985,23.56809211,395.3
karnataka,1986,23.5751634,1290.0
karnataka,1987,23.7645768,763.2
karnataka,1988,23.64886731,874.6
karnataka,1989,23.44967742,667.9
karnataka,1990,23.71952862,667.0
karnataka,1991,23.65,1099.4
karnataka,1992,23.26537217,717.0
karnataka,1993,23.52946708,821.4
karnataka,1994,23.353125,770.6
karnataka,1995,23.92327869,950.5
karnataka,1996,23.68694268,908.0
karnataka,1997,23.65209003,1078.5
karnataka,1998,24.14392523,1211.8
karnataka,1999,22.89529412,662.3
karnataka,2000,23.00952381,1036.2
karnataka,2001,23.09339623,790.4
karnataka,2002,23.23609467,572.6
karnataka,2003,24.19216301,628.2
karnataka,2004,23.35572755,1026.2
karnataka,2005,23.92996516,1521.8
karnataka,2006,23.83070175,587.2
karnataka,2007,23.31205674,1465.5
karnataka,2008,23.5607362,1184.2
karnataka,2009,23.64117647,953.0
karnataka,2010,23.87125,835.4
karnataka,2011,23.26766917,923.9
karnataka,2012,23.71192661,587.2
karnataka,2013,23.6964497,1045.2
karnataka,2014,24.0955414,1076.1
karnataka,2015,23.70457143,1137.1
karnataka,2016,23.83676471,684.2
karnataka,2017,24.25730994,1630.8
karnataka,2018,24.005,817.7
karnataka,2019,23.84213836,743.0
karnataka,2020,23.75473684,1128.1
karnataka,2021,23.41534247,1597.3
karnataka,2022,23.24945055,2007.0
karnataka,2023,23.90657534,1124.2
karnataka,2024,24.40414365,1216.6
karnataka,2025,24.61614907,766.2
